objeto,change_type,api_name,label,type,detail,picklist_value_label,picklist_value_api,picklist_value_active
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""URBANIZACIÓN"",""value"":""URBANIZACION""}",URBANIZACIÓN,URBANIZACION,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""UNIDAD VECINAL"",""value"":""UNIDAD VECINAL""}",UNIDAD VECINAL,UNIDAD VECINAL,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""PUEBLO JOVEN"",""value"":""PUEBLO JOVEN""}",PUEBLO JOVEN,PUEBLO JOVEN,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""CONJUNTO RESIDENCIAL"",""value"":""CONJUNTO RESIDENCIAL""}",CONJUNTO RESIDENCIAL,CONJUNTO RESIDENCIAL,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""CONJUNTO HABITACIONAL"",""value"":""CONJUNTO HABITACIONAL""}",CONJUNTO HABITACIONAL,CONJUNTO HABITACIONAL,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""ASENTAMIENTO HUMANO"",""value"":""ASENTAMIENTO HUMANO""}",ASENTAMIENTO HUMANO,ASENTAMIENTO HUMANO,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""CENTRO POBLADO"",""value"":""CENTRO POBLADO""}",CENTRO POBLADO,CENTRO POBLADO,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""AGRUPACION"",""value"":""AGRUPACION""}",AGRUPACION,AGRUPACION,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""PARQUE INDUSTRIAL"",""value"":""PARQUE INDUSTRIAL""}",PARQUE INDUSTRIAL,PARQUE INDUSTRIAL,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""COOPERATIVA"",""value"":""COOPERATIVA""}",COOPERATIVA,COOPERATIVA,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""GALERIA"",""value"":""GALERIA""}",GALERIA,GALERIA,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""BARRIO"",""value"":""BARRIO""}",BARRIO,BARRIO,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""ASOCIACION"",""value"":""ASOCIACION""}",ASOCIACION,ASOCIACION,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""AMPLIACION"",""value"":""AMPLIACION""}",AMPLIACION,AMPLIACION,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""CIUDAD"",""value"":""CIUDAD""}",CIUDAD,CIUDAD,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""COMITÉ"",""value"":""COMITÉ""}",COMITÉ,COMITÉ,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""FUNDO"",""value"":""FUNDO""}",FUNDO,FUNDO,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""HACIENDA"",""value"":""HACIENDA""}",HACIENDA,HACIENDA,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""URBANIZACION POPULAR"",""value"":""URBANIZACION POPULAR""}",URBANIZACION POPULAR,URBANIZACION POPULAR,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""LOTIZACION"",""value"":""LOTIZACION""}",LOTIZACION,LOTIZACION,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""OTROS"",""value"":""OTROS""}",OTROS,OTROS,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""Programa de Vivienda"",""value"":""Programa de Vivienda""}",Programa de Vivienda,Programa de Vivienda,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""JUNTA DE PROPIETARIOS"",""value"":""JUNTA DE PROPIETARIOS""}",JUNTA DE PROPIETARIOS,JUNTA DE PROPIETARIOS,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""PROGRAMA RESIDENCIAL DE VIVIENDA"",""value"":""PROGRAMA RESIDENCIAL DE VIVIENDA""}",PROGRAMA RESIDENCIAL DE VIVIENDA,PROGRAMA RESIDENCIAL DE VIVIENDA,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""PROGRAMA RESIDENCIAL"",""value"":""PROGRAMA RESIDENCIAL""}",PROGRAMA RESIDENCIAL,PROGRAMA RESIDENCIAL,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""JUNTA DE POSESIONARIOS"",""value"":""JUNTA DE POSESIONARIOS""}",JUNTA DE POSESIONARIOS,JUNTA DE POSESIONARIOS,True
Quote,picklist_value_added,pz_AddressGroupType__c,Tipo Agrupación,picklist,"{""active"":true,""label"":""ORGANIZACION VECINAL"",""value"":""ORGANIZACION VECINAL""}",ORGANIZACION VECINAL,ORGANIZACION VECINAL,True
